,Unnamed: 0,datetime_h,median_block_net_profit,median_tail_gas_price,median_total_gas_used,median_base_fee_per_gas,predict,predict_lb,predict_ub,is_in_ci,datetime_d,validator_number,annual_full_reward,annual_total_reward_with_mev_actual,annual_total_reward_with_mev,annual_total_reward_with_mev_lb,annual_total_reward_with_mev_ub
5594,5594,2022-03-26 14,0.0463076990096935,2.5222290493e-08,14415998.0,2.43038424815e-08,0.0453764582849993,0.023711738608544,0.0868355965154049,True,2022-03-26,322908,1.6557001864921495,2.0328354289007984,2.0252512970186496,1.8488113209104637,2.3628993011508506
5595,5595,2022-03-26 15,0.0443919938791843,2.9430364861e-08,14859930.0,2.8476495117e-08,0.0516906570237829,0.0270112607765386,0.0989188933332254,True,2022-03-26,322908,1.6557001864921495,2.0172337053380094,2.076674859901121,1.8756830100522384,2.4613070642645063
5596,5596,2022-03-26 16,0.0549460152966188,3.0265404637e-08,13221575.0,2.941811708e-08,0.0483982430809724,0.0252907902560604,0.0926182973963648,True,2022-03-26,322908,1.6557001864921495,2.1031868731863415,2.049861060965192,1.861671299674194,2.4099942841700024
5597,5597,2022-03-26 17,0.0414283559014605,3.2711503265e-08,14071948.0,3.1784257847e-08,0.0536350806540822,0.0280273309285181,0.1026398797697429,True,2022-03-26,322908,1.6557001864921495,1.9930974957866259,2.09251047023893,1.8839580025754206,2.4916112070257688
5598,5598,2022-03-26 18,0.0452193482417562,4.1637120322e-08,13332418.0,4.0741021843e-08,0.0614977452597483,0.0321360131602876,0.1176864302727665,True,2022-03-26,322908,1.6557001864921495,2.023971774703561,2.1565449177595264,1.9174195846146003,2.6141520499681903
5599,5599,2022-03-26 19,0.044191264585514,3.3302291678000005e-08,14298733.0,3.2874512441e-08,0.0526283460508744,0.027501255763958,0.1007133213051493,True,2022-03-26,322908,1.6557001864921495,2.0155989428158847,2.084311507501816,1.879673585751557,2.475921092658245
5600,5600,2022-03-26 20,0.0505104075073679,2.7766994011e-08,13560144.0,2.6917491479e-08,0.0462924954031937,0.0241904192619773,0.088588589864711,True,2022-03-26,322908,1.6557001864921495,2.0670627716956007,2.0327116089757014,1.8527097513686712,2.3771758811984345
5601,5601,2022-03-26 21,0.0511793960549166,2.7198078484500002e-08,14218534.5,2.67003496985e-08,0.0453604145138588,0.0237033548403533,0.0868048940214247,True,2022-03-26,322908,1.6557001864921495,2.0725110915958314,2.0251206346958046,1.8487430425352365,2.3626492564982895
5602,5602,2022-03-26 22,0.0455485902687786,2.43276129445e-08,13834480.0,2.3369975445e-08,0.0433038417422846,0.0226286804864684,0.0828692910645933,True,2022-03-26,322908,1.6557001864921495,2.0266531597502726,2.0083716688148545,1.8399907706316398,2.3305972520392015
5603,5603,2022-03-26 23,0.0521999623915965,2.173610793e-08,13996898.0,2.0836564336e-08,0.0401429610136959,0.0209769434306952,0.076820406379563,True,2022-03-26,322908,1.6557001864921495,2.080822701565856,1.9826290915481328,1.8265388335186779,2.2813344374149347
5604,5604,2022-03-27 00,0.1667097299039648,7.1497532634e-08,14449572.0,7.0497532634e-08,0.0972868735378276,0.050837835356887,0.1861750347221082,True,2022-03-27,323808,1.653397638322409,3.0073272747163418,2.443510977183027,2.066276070669792,3.1654143467181255
5605,5605,2022-03-27 01,0.0654771561273679,3.01476944115e-08,13360081.5,2.9403693843e-08,0.0481231345783695,0.0251470306690575,0.0920918303287958,True,2022-03-27,323808,1.653397638322409,2.1851690126669343,2.0442286842329365,1.8576287297515504,2.4013195408037165
5606,5606,2022-03-27 02,0.0521997461001472,2.51085253775e-08,13241928.0,2.44536010645e-08,0.0415660123780244,0.0217205673989996,0.0795436580118832,True,2022-03-27,323808,1.653397638322409,2.0773368007092774,1.9909751513910439,1.8298007789053752,2.2994098178845275
5607,5607,2022-03-27 03,0.0480140985057792,2.1171728545e-08,13635784.0,2.0324002836e-08,0.038509520610645,0.0201233794168069,0.0736945394183203,True,2022-03-27,323808,1.653397638322409,2.043343150016061,1.9661519164806824,1.8168292496177407,2.2519063217468416
5608,5608,2022-03-27 04,0.045546708533859,1.9983945288e-08,13647829.0,1.9190822823e-08,0.0367739631094487,0.0192164535049168,0.070373253963281,True,2022-03-27,323808,1.653397638322409,2.023304293199195,1.9520566219955369,1.8094636695113548,2.224932570358172
5609,5609,2022-03-27 05,0.0534320770769091,2.10762543945e-08,13966152.5,2.0156470231e-08,0.0393739357922175,0.020575084719719,0.0753487453825094,True,2022-03-27,323808,1.653397638322409,2.0873451513451124,1.973172246566719,1.8204977649280427,2.2653409214004157
5610,5610,2022-03-27 06,0.0455000522651718,1.9490917384e-08,13280067.0,1.8515639219e-08,0.0364930279288804,0.0190696491526304,0.0698356365530902,True,2022-03-27,323808,1.653397638322409,2.0229253752743954,1.9497750127151654,1.8082714009891356,2.2205663216388083
5611,5611,2022-03-27 07,0.043980921276268,1.8265556497e-08,13589921.0,1.7407121602e-08,0.0348788272963551,0.0182261389954519,0.0667465881760552,True,2022-03-27,323808,1.653397638322409,2.0105877842494078,1.9366653155383968,1.801420850627971,2.1954786788939513
5612,5612,2022-03-27 08,0.0495104181382806,1.8609127032e-08,13497636.0,1.7766950355e-08,0.0350652901701073,0.0183235762809897,0.0671034167052575,True,2022-03-27,323808,1.653397638322409,2.0554954790800504,1.9381796699255447,1.8022121855347901,2.1983766544414864
5613,5613,2022-03-27 09,0.0416380997806813,1.7993733156e-08,13533196.0,1.7102141629e-08,0.0346285037876714,0.0180953309546788,0.066267551423961,True,2022-03-27,323808,1.653397638322409,1.9915606077463752,1.9346323183204888,1.800358495820106,2.191588191782276
5614,5614,2022-03-27 10,0.0409441519478363,1.532775186e-08,14551889.0,1.45781571095e-08,0.031906945582584,0.0166731645008393,0.0610593853589536,True,2022-03-27,323808,1.653397638322409,1.985924724720583,1.9125292394350417,1.788808400268708,2.1492901783985534
5615,5615,2022-03-27 11,0.0401061024010835,1.6659098285e-08,13861606.0,1.5907180176e-08,0.0326706169869186,0.0170722255427715,0.0625208009132626,True,2022-03-27,323808,1.653397638322409,1.9791185225944756,1.9187313810100464,1.7920493662981862,2.1611590347106944
