,datetime_h,median_block_net_profit,predict,predict_lb,predict_ub,is_in_ci
0,2021-08-05 12,0.2370439568187277,0.07845091789862639,0.07085174179111485,0.08519158966521383,False
1,2021-08-05 13,0.1622503224681653,0.07845091789862639,0.07085174179111485,0.08519158966521383,False
2,2021-08-05 14,0.21134094011779075,0.0796600145078197,0.07095084084311452,0.08550506808569015,False
3,2021-08-05 15,0.1880582191448756,0.0797643730509575,0.07108434244843564,0.08590671529960311,False
4,2021-08-05 16,0.22464238755637983,0.0796600145078197,0.07095084084311452,0.08550506808569015,False
5,2021-08-05 17,0.6134681837420093,0.0797643730509575,0.07108434244843564,0.08590671529960311,False
6,2021-08-05 18,0.22067229962372356,0.0797643730509575,0.07108434244843564,0.08590671529960311,False
7,2021-08-05 19,0.1746882255239743,0.07932961468992315,0.07108434244843564,0.08559937333971006,False
8,2021-08-05 20,0.1693514506757747,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
9,2021-08-05 21,0.1504531885502715,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
10,2021-08-05 22,0.1237649043334656,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
11,2021-08-05 23,0.134825447482457,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
12,2021-08-06 00,0.1169764133126278,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
13,2021-08-06 01,0.1125536195985459,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
14,2021-08-06 02,0.10952214833400135,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
15,2021-08-06 03,0.1032645375274077,0.07859325823519514,0.07102404147746452,0.08532759751536353,False
16,2021-08-06 04,0.1080122717334823,0.07845091789862639,0.07085174179111485,0.08519158966521383,False
17,2021-08-06 05,0.1049016502551412,0.07856139993708029,0.07099713766512236,0.08530785410811505,False
18,2021-08-06 06,0.10043172232668054,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
19,2021-08-06 07,0.08934308702791124,0.07859325823519514,0.07102404147746452,0.08532759751536353,False
20,2021-08-06 08,0.0989186889382254,0.07852673828171565,0.07095084084311452,0.08528048008445466,False
21,2021-08-06 09,0.1016475242382228,0.07856139993708029,0.07099713766512236,0.08530785410811505,False
22,2021-08-06 10,0.1017398361376655,0.07845091789862639,0.07085174179111485,0.08519158966521383,False
23,2021-08-06 11,0.0942719823993201,0.07845091789862639,0.07085174179111485,0.08519158966521383,False
24,2021-08-06 12,0.11141065924118805,0.07852673828171565,0.07095084084311452,0.08528048008445466,False
25,2021-08-06 13,0.1438771825937763,0.07859325823519514,0.07102404147746452,0.08532759751536353,False
26,2021-08-06 14,0.1347690256334868,0.07859325823519514,0.07102404147746452,0.08532759751536353,False
27,2021-08-06 15,0.1659135986112394,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
28,2021-08-06 16,0.40710884444296663,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
29,2021-08-06 17,0.2266915857102311,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
30,2021-08-06 18,0.1642775655463513,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
31,2021-08-06 19,0.14325192718486246,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
32,2021-08-06 20,0.1348416027296797,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
33,2021-08-06 21,0.1279478014077493,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
34,2021-08-06 22,0.14079388794877,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
35,2021-08-06 23,0.11566136525817924,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
36,2021-08-07 00,0.12841727535719616,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
37,2021-08-07 01,0.13653537419139455,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
38,2021-08-07 02,0.11729831105404795,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
39,2021-08-07 03,0.1006514091873103,0.07863109682485343,0.07108434244843564,0.08535417848131231,False
40,2021-08-07 04,0.11895519967995066,0.07969686454044674,0.07190025109429429,0.09335412283990623,False
41,2021-08-07 05,0.0934158030342695,0.07889098762791183,0.07129465837362699,0.08611223424865068,False
42,2021-08-07 06,0.1065056912129551,0.07893776145219433,0.07129465837362699,0.08623152322519607,False
43,2021-08-07 07,0.0951201072616021,0.07871512058817945,0.07119285918589284,0.08548291637298724,False
44,2021-08-07 08,0.0927621631066473,0.07875967263551084,0.07126933353926043,0.08559937333971006,False
45,2021-08-07 09,0.1590821452650286,0.08118022220627075,0.07450010448963817,0.09573355257598468,False
46,2021-08-07 10,0.1415879313571322,0.08132709880291909,0.07453752098946316,0.09600077821468044,False
47,2021-08-07 11,0.1164857241078571,0.08164745850516779,0.07467178837407826,0.09666868301953789,False
48,2021-08-07 12,0.1693031558891178,0.08726869756419522,0.07555138786647272,0.12279622517033327,False
49,2021-08-07 13,0.1399613983009557,0.08164745850516779,0.07467178837407826,0.09666868301953789,False
50,2021-08-07 14,0.1224011300147367,0.08164745850516779,0.07467178837407826,0.09666868301953789,False
51,2021-08-07 15,0.1298921424205192,0.08164745850516779,0.07467178837407826,0.09666868301953789,False
52,2021-08-07 16,0.1713471808690847,0.08119068194158105,0.07453752098946316,0.09586214239759563,False
53,2021-08-07 17,0.1311710122278366,0.0812637502570085,0.07453752098946316,0.09593461801099716,False
54,2021-08-07 18,0.1167567731497802,0.08109575568582739,0.07453752098946316,0.09573355257598468,False
55,2021-08-07 19,0.1214819944882021,0.0812637502570085,0.07453752098946316,0.09593461801099716,False
